run_id,params,depth,epochs,batch_size,target,family,source_dataset,is_gpu,n_observations,n_features,n_classes,task_encoded,imbalance,power,duration,shape_exponential,shape_rectangle,shape_rectangle_residual,shape_trapezoid,shape_wide_first_16x,shape_wide_first_2x,shape_wide_first_4x,shape_wide_first_8x,group_key
de7d2ce5-d4fc-4e81-b8bb-ab4c7ddaaa34,8388608,4,3000,256,5630532.896385001,MLP,BUTTER-E,1,105908.0,13.0,5.0,1.0,0.1484938125639567,483.7781210477509,11638.667917,0,0,1,0,0,0,0,0,8388608|4|1|105908.0|rectangle_residual
de80c626-3ee1-463f-8b47-cdf2756fd66f,16384,7,3000,256,766875.9500190001,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,423.7250675763223,1809.843242,0,0,0,0,0,0,1,0,16384|7|1|20640.0|wide_first_4x
de821e6e-4488-492f-9c9c-8f0da293ea5b,32768,16,3000,256,3488410.377047,MLP,BUTTER-E,1,105908.0,13.0,5.0,1.0,0.1484938125639567,426.2914046057961,8183.159077,0,0,0,0,1,0,0,0,32768|16|1|105908.0|wide_first_16x
de88fcb9-e501-4ba8-bc43-44694cee6e4c,256,3,3000,256,638515.978284,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,427.2040607282305,1494.6393,0,0,1,0,0,0,0,0,256|3|1|15000.0|rectangle_residual
de89195c-ece5-45a1-8fa4-210f67f01ad9,524288,4,3000,256,637553.4770899998,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,423.3392056058396,1506.010945,0,1,0,0,0,0,0,0,524288|4|1|15000.0|rectangle
de8b8988-c4ed-4826-923d-2c250dc74b42,32768,10,3000,256,375546.449079,MLP,BUTTER-E,1,3188.0,60.0,3.0,1.0,0.0776763041770503,424.7003200079033,884.2622230000001,0,0,1,0,0,0,0,0,32768|10|1|3188.0|rectangle_residual
de8eca50-9b74-485e-8796-fce805bd4d91,65536,5,3000,256,2905025.328472,MLP,BUTTER-E,1,105908.0,13.0,5.0,1.0,0.1484938125639567,424.3196843802332,6846.3128990000005,0,0,0,0,0,1,0,0,65536|5|1|105908.0|wide_first_2x
de990392-b875-4252-9b4b-a02c2d221ba7,1024,2,3000,256,712129.3848959998,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,408.5642137721756,1743.0047980000002,0,1,0,0,0,0,0,0,1024|2|1|20640.0|rectangle
de9ba0e3-8fc5-4077-909a-88758b761753,32768,4,3000,256,1878866.735863,MLP,BUTTER-E,1,67557.0,42.0,3.0,1.0,0.2546625519372754,414.3056537536337,4534.977302,0,0,0,0,0,0,0,1,32768|4|1|67557.0|wide_first_8x
de9f4775-2945-4cc7-ba43-c953d3c1725d,16777216,2,3000,256,1401895.493356,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,524.9086879877111,2670.741646,0,1,0,0,0,0,0,0,16777216|2|1|3848.0|rectangle
dea78833-6bd2-4474-b92b-659a00956705,8388608,3,3000,256,3647189.517716,MLP,BUTTER-E,1,67557.0,42.0,3.0,1.0,0.2546625519372754,468.98996431039126,7776.689898,1,0,0,0,0,0,0,0,8388608|3|1|67557.0|exponential
dea8b195-ea74-4ab5-85fd-7282de21f767,16384,6,3000,256,2093675.311487,MLP,BUTTER-E,1,70000.0,784.0,10.0,1.0,0.0003254145124716,409.3422375962607,5114.730705,0,0,0,0,0,1,0,0,16384|6|1|70000.0|wide_first_2x
dead7d06-0d21-43cb-8859-7bbdeb399357,4194304,7,3000,256,768051.5228299999,MLP,BUTTER-E,1,12958.0,8.0,4.0,1.0,0.0900899366400157,448.69909210287113,1711.729612,0,0,0,0,0,0,0,1,4194304|7|1|12958.0|wide_first_8x
deadb163-537a-4afc-84ed-00c9d1fdae75,32768,12,3000,256,837958.8553169997,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,409.6886457948604,2045.35533,1,0,0,0,0,0,0,0,32768|12|1|20640.0|exponential
deb0dc6a-f9f4-4e78-9113-c3daf8b59c42,4194304,16,3000,256,934456.366043,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,460.5178680237906,2029.142474,0,1,0,0,0,0,0,0,4194304|16|1|15000.0|rectangle
deb550f8-8ece-4166-beae-36dc2c45d473,32768,9,3000,256,2121780.484872,MLP,BUTTER-E,1,67557.0,42.0,3.0,1.0,0.2546625519372754,423.4145700647974,5011.118263,1,0,0,0,0,0,0,0,32768|9|1|67557.0|exponential
deb7e83e-d8cc-49c8-b835-f125b47a0a3f,2097152,8,3000,256,2232369.919883,MLP,BUTTER-E,1,67557.0,42.0,3.0,1.0,0.2546625519372754,427.3122228878475,5224.212649,0,0,0,1,0,0,0,0,2097152|8|1|67557.0|trapezoid
deb8f22e-251c-4303-8cdc-e16f129d1785,32768,10,3000,256,1577365.877672,MLP,BUTTER-E,1,48842.0,14.0,2.0,1.0,0.2718959907996784,428.8688861228728,3677.967623,0,1,0,0,0,0,0,0,32768|10|1|48842.0|rectangle
deb98828-48d5-485c-b1fb-99f3c0cdb922,524288,6,3000,256,1505015.42832,MLP,BUTTER-E,1,48842.0,14.0,2.0,1.0,0.2718959907996784,433.87002139254207,3468.8163600000003,0,0,1,0,0,0,0,0,524288|6|1|48842.0|rectangle_residual
debab3a0-f1c2-4ccf-a5cb-e0488bfd84f0,16777216,3,3000,256,1885854.204624,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,486.3544953260092,3877.53012,0,0,0,0,1,0,0,0,16777216|3|1|20640.0|wide_first_16x
dec2e92b-ff00-4365-8ac1-8697109bc7eb,1048576,3,3000,256,2979217.537627,MLP,BUTTER-E,1,105908.0,13.0,5.0,1.0,0.1484938125639567,442.329369368594,6735.292169,1,0,0,0,0,0,0,0,1048576|3|1|105908.0|exponential
dec481fa-23f9-40c9-903f-9f173e218528,1048576,14,3000,256,488959.940844,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,412.1200162712581,1186.450358,0,0,0,0,0,0,0,1,1048576|14|1|6435.0|wide_first_8x
dec64caa-9637-4b10-844e-0dd2331c2035,128,4,3000,256,652351.0022969997,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,426.4709456816527,1529.6493440000002,0,0,0,0,0,1,0,0,128|4|1|15000.0|wide_first_2x
decc689e-af95-4170-ba22-ac916f0eb9ac,2097152,5,3000,256,396959.5455379999,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,425.8530621506596,932.151441,0,0,1,0,0,0,0,0,2097152|5|1|3848.0|rectangle_residual
ded24dd6-c6c9-44c0-b703-a6c89bb23497,2048,20,3000,256,755839.8772079998,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,426.7428008723677,1771.183663,0,0,0,0,0,0,1,0,2048|20|1|15000.0|wide_first_4x
ded392a3-1e16-46dc-9011-cbdd51fadcc0,2097152,8,3000,256,1753426.8760750005,MLP,BUTTER-E,1,48842.0,14.0,2.0,1.0,0.2718959907996784,441.8168965176617,3968.673199,0,0,0,1,0,0,0,0,2097152|8|1|48842.0|trapezoid
ded7ab20-8c42-4678-8670-19aa41c09d90,256,8,3000,256,449366.2495749997,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,420.2346722841939,1069.322165,0,0,1,0,0,0,0,0,256|8|1|6435.0|rectangle_residual
ded9f132-b0e1-4349-a4d7-6911f39fa1a3,8192,7,3000,256,461573.902484,MLP,BUTTER-E,1,5300.0,2.0,2.0,1.0,0.0106907796368814,411.4510352902839,1121.819762,0,0,0,0,0,0,1,0,8192|7|1|5300.0|wide_first_4x
dedbe996-6ca7-442d-ad1b-3f728c712186,8192,2,3000,256,1333736.6085399997,MLP,BUTTER-E,1,48842.0,14.0,2.0,1.0,0.2718959907996784,408.49811350660207,3264.976176,0,1,0,0,0,0,0,0,8192|2|1|48842.0|rectangle
dedbffaf-43fc-44cc-99a1-1b006382b7b2,2048,8,3000,256,430817.9391039997,MLP,BUTTER-E,1,5300.0,2.0,2.0,1.0,0.0106907796368814,421.88789746456087,1021.166859,0,1,0,0,0,0,0,0,2048|8|1|5300.0|rectangle
dee13ffa-c622-4352-b308-53cdc84f0add,1048576,5,3000,256,349478.81629499985,MLP,BUTTER-E,1,3188.0,60.0,3.0,1.0,0.0776763041770503,409.6056731592872,853.2079490000001,1,0,0,0,0,0,0,0,1048576|5|1|3188.0|exponential
